window_id,feature,current_value,baseline_mean,baseline_std,delta,standardized_change,standardized_change_available
10,optical_mean,1.199085,1.1997622000000001,0.0013166012912038591,-0.0006772000000001555,-0.5143546527900978,True
10,optical_std,0.02028693853197174,0.01972223722951765,0.0016384415957329472,0.0005647013024540869,0.3446575721250968,True
10,optical_min,1.1463,1.14867,0.009242191298604478,-0.0023699999999999832,-0.256432692575606,True
10,optical_max,1.2428,1.2538099999999999,0.010170884917252763,-0.011009999999999964,-1.0825016790155417,True
10,gyro_x_mean,0.03463599999999999,-0.012315000000000001,0.03592765372522954,0.04695099999999999,1.3068206557287516,True
10,gyro_x_std,0.49918474346077524,0.49392227982660664,0.02931000449824639,0.0052624636341686015,0.17954496166943454,True
10,gyro_x_min,-1.1843,-1.1856099999999998,0.27366189157425624,0.0013099999999999223,0.004786928835666777,True
10,gyro_x_max,0.9823,1.34439,0.254952263963276,-0.36209,-1.4202266509473176,True
10,gyro_y_mean,-0.005214999999999997,-0.0080752,0.057069542992387805,0.002860200000000002,0.05011780102009067,True
10,gyro_y_std,0.49604237810392776,0.5009338702116077,0.0337028571848155,-0.004891492107679973,-0.14513582871792213,True
10,gyro_y_min,-1.4516,-1.23569,0.2047149698971719,-0.21591000000000005,-1.0546859377623992,True
10,gyro_y_max,1.0279,1.3784899999999998,0.1524549274375873,-0.35058999999999974,-2.2996304933700875,True
10,gyro_z_mean,0.039653000000000015,0.013622899999999999,0.07055050927732556,0.026030100000000014,0.3689569397391424,True
10,gyro_z_std,0.4424321582920934,0.5019867573022065,0.029042850402734053,-0.05955459901011312,-2.050576929752967,True
10,gyro_z_min,-0.9508,-1.19566,0.14721945659456834,0.24485999999999997,1.6632312444565434,True
10,gyro_z_max,1.4169,1.20557,0.21367348946465026,0.21133000000000002,0.9890323808043677,True
11,optical_mean,1.1997879999999999,1.1997622000000001,0.0013166012912038591,2.5799999999742695e-05,0.019595909689676803,True
11,optical_std,0.019495400893544106,0.01972223722951765,0.0016384415957329472,-0.00022683633597354522,-0.13844639721324417,True
11,optical_min,1.1438,1.14867,0.009242191298604478,-0.004870000000000152,-0.5269313134359701,True
11,optical_max,1.2416,1.2538099999999999,0.010170884917252763,-0.012209999999999832,-1.2004855132406562,True
11,gyro_x_mean,0.07726500000000001,-0.012315000000000001,0.03592765372522954,0.08958000000000002,2.493344004178433,True
11,gyro_x_std,0.5717438635219446,0.49392227982660664,0.02931000449824639,0.07782158369533798,2.655120155303764,True
11,gyro_x_min,-1.6759,-1.1856099999999998,0.27366189157425624,-0.4902900000000001,-1.7915903349917588,True
