window_id,elapsed_start_s,elapsed_end_s,optical_mean,optical_std,optical_min,optical_max,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max
0,0.0,2.0,1.2018259999999998,0.0199772001041187,1.1476,1.2456,-0.011591999999999996,0.49143051608136834,-1.0278,1.1679,0.07324100000000003,0.518916948671943,-1.1561,1.6651,0.055345000000000005,0.4871857831207721,-1.0196,1.1607
1,2.0,4.0,1.2007549999999998,0.020667822212318346,1.1563,1.275,-0.06813599999999999,0.5493961862845428,-1.2908,1.1704,-0.08951899999999999,0.4532628836988531,-1.0605,1.2136,-0.002305000000000004,0.4544869888951718,-0.9442,1.1873
2,4.0,6.0,1.1996840000000002,0.01727251411925895,1.1566,1.2388,-0.007031999999999999,0.4882788393694734,-1.1198,1.4395,-0.02430800000000001,0.5676318061349276,-1.5773,1.5179,-0.145675,0.489073360831481,-1.3798,0.8015
3,6.0,8.0,1.1986290000000002,0.02098834578998544,1.1367,1.2449,0.022025999999999994,0.47204715137791053,-1.116,1.6072,0.026143999999999997,0.5226756480495337,-1.4965,1.3639,-0.0017879999999999888,0.4725117857323773,-1.0601,1.1846
4,8.0,10.0,1.198252,0.019773515013775368,1.1549,1.26,0.036150999999999996,0.5005004780207507,-1.032,1.4679,-0.04929700000000001,0.5008253974101153,-1.2898,1.4757,0.023771999999999995,0.5417761674492522,-1.3774,1.4769
5,10.0,12.0,1.1979060000000001,0.021229601126728698,1.1531,1.2459,-0.0026869999999999928,0.49372811782498266,-1.0421,1.3606,-0.05196800000000001,0.5293843310639256,-1.3385,1.2838,0.124431,0.5256917577240487,-1.1735,1.5492
6,12.0,14.0,1.2016419999999999,0.016066985902775905,1.1616,1.2546,0.022314999999999995,0.4938483731622491,-1.1817,1.8231,0.007592,0.45198323125532,-0.8649,1.4576,-0.027248,0.5233402414261682,-1.3588,0.951
7,14.0,16.0,1.200338,0.020695119134713863,1.1369,1.263,-0.05162600000000001,0.5387947166815947,-1.9686,1.417,0.09414199999999999,0.4967252079731811,-1.3216,1.3317,0.08381,0.5414943675607347,-1.2453,1.3766
8,16.0,18.0,1.1999160000000002,0.01953842224950622,1.1493,1.2517,-0.06787900000000001,0.4544450990592813,-1.0792,0.9041,-0.06721400000000001,0.4793569100409423,-1.0397,1.3738,0.052862,0.47529066133893266,-1.1373,1.2276
9,18.0,20.0,1.1986740000000002,0.021012846641994987,1.1337,1.2586,0.005310000000000009,0.4567533204039134,-0.9981,1.0862,0.0004350000000000069,0.4885763378173364,-1.212,1.1018,-0.026975000000000006,0.509016458943127,-1.2606,1.1403
