window_id,elapsed_start_s,elapsed_end_s,optical_mean,optical_std,gyro_x_mean,gyro_x_std,gyro_y_mean,gyro_y_std,gyro_z_mean,gyro_z_std,gyro_rapid_change_count
0,0.0,2.0,1.2018259999999998,0.0199772001041187,-0.011591999999999996,0.49143051608136834,0.07324100000000003,0.518916948671943,0.055345000000000005,0.4871857831207721,0
1,2.0,4.0,1.2007549999999998,0.020667822212318346,-0.06813599999999999,0.5493961862845428,-0.08951899999999999,0.4532628836988531,-0.002305000000000004,0.4544869888951718,0
2,4.0,6.0,1.1996840000000002,0.01727251411925895,-0.007031999999999999,0.4882788393694734,-0.02430800000000001,0.5676318061349276,-0.145675,0.489073360831481,0
3,6.0,8.0,1.1986290000000002,0.02098834578998544,0.022025999999999994,0.47204715137791053,0.026143999999999997,0.5226756480495337,-0.0017879999999999888,0.4725117857323773,0
4,8.0,10.0,1.198252,0.019773515013775368,0.036150999999999996,0.5005004780207507,-0.04929700000000001,0.5008253974101153,0.023771999999999995,0.5417761674492522,0
5,10.0,12.0,1.1979060000000001,0.021229601126728698,-0.0026869999999999928,0.49372811782498266,-0.05196800000000001,0.5293843310639256,0.124431,0.5256917577240487,0
6,12.0,14.0,1.2016419999999999,0.016066985902775905,0.022314999999999995,0.4938483731622491,0.007592,0.45198323125532,-0.027248,0.5233402414261682,0
7,14.0,16.0,1.200338,0.020695119134713863,-0.05162600000000001,0.5387947166815947,0.09414199999999999,0.4967252079731811,0.08381,0.5414943675607347,0
8,16.0,18.0,1.1999160000000002,0.01953842224950622,-0.06787900000000001,0.4544450990592813,-0.06721400000000001,0.4793569100409423,0.052862,0.47529066133893266,0
9,18.0,20.0,1.1986740000000002,0.021012846641994987,0.005310000000000009,0.4567533204039134,0.0004350000000000069,0.4885763378173364,-0.026975000000000006,0.509016458943127,0
10,20.0,22.0,1.199085,0.02028693853197174,0.03463599999999999,0.49918474346077524,-0.005214999999999997,0.49604237810392776,0.039653000000000015,0.4424321582920934,0
11,22.0,24.0,1.1997879999999999,0.019495400893544106,0.07726500000000001,0.5717438635219446,-0.017011000000000002,0.4958547805345835,-0.014866999999999998,0.45520332557111226,0
12,24.0,26.0,1.19582,0.020895085546606414,-0.02481299999999999,0.4525432436033048,-0.008371000000000003,0.5038608766901831,-0.10701400000000001,0.48062445110917945,0
13,26.0,28.0,1.2001,0.022754784112357564,0.002025000000000001,0.42514624763132974,0.05623000000000001,0.4533612732689019,-0.055114,0.4802046944835087,0
14,28.0,30.0,1.200447,0.019122878732031952,-0.0064690000000000025,0.5132254919029257,0.02237,0.4917313037625325,0.05031799999999999,0.5199431438878678,0
15,30.0,32.0,1.8002779999999998,0.02123384835586804,-0.022716000000000007,0.475340437522414,-0.03219000000000001,0.4838862038744234,0.09550800000000002,0.52440596043142,0
16,32.0,34.0,1.7972989999999998,0.022875639859903374,0.0015440000000000087,0.5375840972945536,0.019848000000000008,0.5122464753378007,-0.080458,0.4604950073953028,0
17,34.0,36.0,1.4992459999999996,0.30218804689133555,-3.0669719999999994,17.751620806845104,2.330438,12.316473805117925,-0.935914,11.115488192994674,1
18,36.0,38.0,1.2006450000000002,0.02217940655202478,1.148103,31.898856953936313,0.24399699999999974,17.451598614725558,-1.0818630000000002,15.648019441863275,4
19,38.0,40.0,1.204598,0.02059508184008988,-5.613453999999999,30.102707151246115,-1.520209,21.661779817956305,1.9899949999999997,14.917511325126418,1
20,40.0,42.0,1.2006290000000002,0.01891190257483366,-0.02532,0.41114612244310417,0.036172,0.5173106165699676,-0.052273999999999994,0.4831145730817898,0
21,42.0,44.0,1.199001,0.01990045474354795,0.024050000000000002,0.5183934064974207,0.041454000000000005,0.49704356397000055,-0.033022,0.5114302479478506,0
23,46.0,48.0,1.199421,0.018411438265382753,0.024155000000000003,0.4466024844030762,0.051535999999999985,0.5450351466685429,0.05367500000000001,0.47767613910996226,0
24,48.0,50.0,1.1989419999999997,0.019147308844848138,-0.05913199999999999,0.4830291218715492,-0.04613,0.4990136458054028,0.046930000000000006,0.4784717589367214,0
26,52.0,54.0,1.197972,0.020174642896467834,0.07725399999999999,0.5353587734258214,-0.02749399999999999,0.49728353276978715,0.13655700000000004,0.5462964968320774,0
27,54.0,56.0,1.19979,0.017911004996928565,0.01028100000000001,0.48105621369960494,-0.0021419999999999885,0.5069822411445987,0.040041000000000014,0.5050407916386557,0
28,56.0,58.0,1.200214,0.020750195276189556,0.007086999999999995,0.5133240735938653,0.014818999999999995,0.560707543144374,-0.09055699999999998,0.48588520707158805,0
29,58.0,60.0,1.19858,0.019495563597906072,0.13172699999999998,0.5085510811816253,0.06161599999999999,0.5270005661704739,0.02970000000000001,0.530734804210163,0
