window_id,sensor,feature,current_value,baseline_mean,baseline_std,delta,standardized_change,standardized_change_available
10,gyro,gyro_x_mean,0.03463599999999999,-0.012315000000000001,0.03592765372522954,0.04695099999999999,1.3068206557287516,True
10,gyro,gyro_x_std,0.49918474346077524,0.49392227982660664,0.02931000449824639,0.0052624636341686015,0.17954496166943454,True
10,gyro,gyro_y_mean,-0.005214999999999997,-0.0080752,0.057069542992387805,0.002860200000000002,0.05011780102009067,True
10,gyro,gyro_y_std,0.49604237810392776,0.5009338702116077,0.0337028571848155,-0.004891492107679973,-0.14513582871792213,True
10,gyro,gyro_z_mean,0.039653000000000015,0.013622899999999999,0.07055050927732556,0.026030100000000014,0.3689569397391424,True
10,gyro,gyro_z_std,0.4424321582920934,0.5019867573022065,0.029042850402734053,-0.05955459901011312,-2.050576929752967,True
10,gyro,gyro_rapid_change_count,0.0,0.0,0.0,0.0,,False
11,gyro,gyro_x_mean,0.07726500000000001,-0.012315000000000001,0.03592765372522954,0.08958000000000002,2.493344004178433,True
11,gyro,gyro_x_std,0.5717438635219446,0.49392227982660664,0.02931000449824639,0.07782158369533798,2.655120155303764,True
11,gyro,gyro_y_mean,-0.017011000000000002,-0.0080752,0.057069542992387805,-0.008935800000000002,-0.15657738841875604,True
11,gyro,gyro_y_std,0.4958547805345835,0.5009338702116077,0.0337028571848155,-0.005079089677024251,-0.15070205024969177,True
11,gyro,gyro_z_mean,-0.014866999999999998,0.013622899999999999,0.07055050927732556,-0.0284899,-0.403822740499429,True
11,gyro,gyro_z_std,0.45520332557111226,0.5019867573022065,0.029042850402734053,-0.04678343173109428,-1.6108416041247162,True
11,gyro,gyro_rapid_change_count,0.0,0.0,0.0,0.0,,False
12,gyro,gyro_x_mean,-0.02481299999999999,-0.012315000000000001,0.03592765372522954,-0.01249799999999999,-0.34786574418644817,True
12,gyro,gyro_x_std,0.4525432436033048,0.49392227982660664,0.02931000449824639,-0.04137903622330186,-1.41177174591623,True
12,gyro,gyro_y_mean,-0.008371000000000003,-0.0080752,0.057069542992387805,-0.00029580000000000405,-0.005183149969143072,True
12,gyro,gyro_y_std,0.5038608766901831,0.5009338702116077,0.0337028571848155,0.002927006478575356,0.08684742846947975,True
12,gyro,gyro_z_mean,-0.10701400000000001,0.013622899999999999,0.07055050927732556,-0.1206369,-1.7099366288879767,True
12,gyro,gyro_z_std,0.48062445110917945,0.5019867573022065,0.029042850402734053,-0.021362306193027092,-0.7355444075494765,True
12,gyro,gyro_rapid_change_count,0.0,0.0,0.0,0.0,,False
13,gyro,gyro_x_mean,0.002025000000000001,-0.012315000000000001,0.03592765372522954,0.014340000000000002,0.399135443401638,True
13,gyro,gyro_x_std,0.42514624763132974,0.49392227982660664,0.02931000449824639,-0.06877603219527689,-2.346503638352964,True
13,gyro,gyro_y_mean,0.05623000000000001,-0.0080752,0.057069542992387805,0.0643052,1.126786664623849,True
13,gyro,gyro_y_std,0.4533612732689019,0.5009338702116077,0.0337028571848155,-0.047572596942705825,-1.4115300872514513,True
13,gyro,gyro_z_mean,-0.055114,0.013622899999999999,0.07055050927732556,-0.0687369,-0.9742934629968938,True
13,gyro,gyro_z_std,0.4802046944835087,0.5019867573022065,0.029042850402734053,-0.021782062818697823,-0.7499974181820421,True
13,gyro,gyro_rapid_change_count,0.0,0.0,0.0,0.0,,False
14,gyro,gyro_x_mean,-0.0064690000000000025,-0.012315000000000001,0.03592765372522954,0.005845999999999999,0.16271588578284343,True
14,gyro,gyro_x_std,0.5132254919029257,0.49392227982660664,0.02931000449824639,0.01930321207631902,0.658587823740318,True
14,gyro,gyro_y_mean,0.02237,-0.0080752,0.057069542992387805,0.0304452,0.5334754477368238,True
14,gyro,gyro_y_std,0.4917313037625325,0.5009338702116077,0.0337028571848155,-0.009202566449075245,-0.2730500384169617,True
14,gyro,gyro_z_mean,0.05031799999999999,0.013622899999999999,0.07055050927732556,0.03669509999999999,0.5201252319208067,True
