session_id,boot_id,window_id,sensor,anomaly_score,threshold,is_anomaly
multi-session-013,multi-boot-013,0,optical,0.02605141068158101,0.10594972098035704,False
multi-session-013,multi-boot-013,1,optical,-0.0021714626466403653,0.10594972098035704,False
multi-session-013,multi-boot-013,2,optical,0.009881130468798793,0.10594972098035704,False
multi-session-013,multi-boot-013,3,optical,0.008078313494455314,0.10594972098035704,False
multi-session-013,multi-boot-013,4,optical,-0.03385794895958916,0.10594972098035704,False
multi-session-013,multi-boot-013,5,optical,-0.02721559230271625,0.10594972098035704,False
multi-session-013,multi-boot-013,6,optical,-0.016862787209272256,0.10594972098035704,False
multi-session-013,multi-boot-013,7,optical,-0.019230849740173916,0.10594972098035704,False
multi-session-013,multi-boot-013,8,optical,-0.02969266552823313,0.10594972098035704,False
multi-session-013,multi-boot-013,9,optical,0.01217588749843268,0.10594972098035704,False
multi-session-013,multi-boot-013,10,optical,0.007797928863039205,0.10594972098035704,False
multi-session-013,multi-boot-013,11,optical,0.00582862743808632,0.10594972098035704,False
multi-session-013,multi-boot-013,12,optical,-0.028703041628642012,0.10594972098035704,False
multi-session-013,multi-boot-013,13,optical,0.005974634602264661,0.10594972098035704,False
multi-session-013,multi-boot-013,14,optical,0.09691171872269089,0.10594972098035704,False
multi-session-013,multi-boot-013,15,optical,0.0425697975117596,0.10594972098035704,False
multi-session-013,multi-boot-013,16,optical,-0.011501933477840565,0.10594972098035704,False
multi-session-013,multi-boot-013,17,optical,0.07967518609004787,0.10594972098035704,False
multi-session-013,multi-boot-013,18,optical,-0.05758726520914709,0.10594972098035704,False
multi-session-013,multi-boot-013,19,optical,0.08976027485031224,0.10594972098035704,False
multi-session-013,multi-boot-013,20,optical,0.138095401323711,0.10594972098035704,True
multi-session-013,multi-boot-013,21,optical,-0.02184353924667276,0.10594972098035704,False
multi-session-013,multi-boot-013,22,optical,-0.025730063171384043,0.10594972098035704,False
multi-session-013,multi-boot-013,23,optical,-0.016849062798993952,0.10594972098035704,False
multi-session-013,multi-boot-013,24,optical,-0.008824535940236078,0.10594972098035704,False
multi-session-013,multi-boot-013,25,optical,0.029161064251507995,0.10594972098035704,False
multi-session-013,multi-boot-013,26,optical,-0.028997607102877965,0.10594972098035704,False
multi-session-013,multi-boot-013,27,optical,-0.017055854645072033,0.10594972098035704,False
multi-session-013,multi-boot-013,28,optical,0.00422241921325861,0.10594972098035704,False
multi-session-013,multi-boot-013,29,optical,0.03697513669273744,0.10594972098035704,False
multi-session-014,multi-boot-014,0,optical,0.04916370585947172,0.10594972098035704,False
multi-session-014,multi-boot-014,1,optical,0.046648591832649466,0.10594972098035704,False
multi-session-014,multi-boot-014,2,optical,-0.040787340498016744,0.10594972098035704,False
multi-session-014,multi-boot-014,3,optical,-0.008971886566682963,0.10594972098035704,False
multi-session-014,multi-boot-014,4,optical,0.03152425525889546,0.10594972098035704,False
multi-session-014,multi-boot-014,5,optical,-0.025366104776358922,0.10594972098035704,False
multi-session-014,multi-boot-014,6,optical,-0.02121230541689345,0.10594972098035704,False
multi-session-014,multi-boot-014,7,optical,-0.020104892687393017,0.10594972098035704,False
multi-session-014,multi-boot-014,8,optical,-0.03836300109404828,0.10594972098035704,False
multi-session-014,multi-boot-014,9,optical,-0.01680693495893304,0.10594972098035704,False
multi-session-014,multi-boot-014,10,optical,-0.0024634112965817856,0.10594972098035704,False
multi-session-014,multi-boot-014,11,optical,-0.02754239650133372,0.10594972098035704,False
